번호,보드게임명 (한글/영문),이용 연령,권장/지원 인원,주요 메커니즘 (Mechanisms),장르 / 카테고리
23,마라케시 (Marrakech - Stefan Feld),만 14세+,2~4인,"큐브 타워 드롭, 일꾼 배치, 엔진 빌딩",헤비 유로 전략
24,마피아 오리지널 (Mafia Original),만 10세+,4~12인,"히든 롤, 투표, 블러핑, 팀 제거",전통 소셜 디덕션
25,마헤 (Mahé),만 7세+,2~7인,"주사위 푸시 유어 럭, 롤 앤 무브, 말 업기",가족 / 파티 레이싱
26,머핀타임 (Muffin Time),만 12세+,2~8인,"테이크 댓, 손패 관리, 카오스 트랩 발동",파티 / 트롤링 카드
27,모두의 마블 베이직 (사은품),만 6세+,2~4인,"롤 앤 무브, 자산 독점, 주사위 운",가족 / 부동산 보드게임
28,모자가 아니잖아 (That's Not a Hat),만 8세+,3~8인,"단기 기억력, 블러핑, 카드 전달 순환",파티 / 메모리 블러핑
29,반지의 제왕: 가운데땅에서의 대결,만 10세+,2인 전용,"카드 드래프트, 세력 트랙/영역 영향력",2인 전략 / 테마 대전
30,밤버스터즈 (Bomb Busters),만 10세+,2~5인,"제한 정보 공유, 협력 연역/추리, 와이어 해체",협력 디덕션 / 시나리오
31,배기 슬램! (Baggi Slam!),만 8세+,2~5인,"실시간 패턴 매칭, 스피드 손바닥 치기",실시간 순발력 / 파티
32,배틀쉽 (Battle Sheep),만 7세+,2~4인,"모듈러 보드, 영역 분할 및 포위, 기동전",추상 전략 / 영역 점유
33,뱅! (BANG!),만 8세+,4~7인,"히든 롤, 사거리 거리 계산, 플레이어 탈락",소셜 디덕션 / 서부 테마
34,보난자 (Bohnanza),만 10세+,2~7인,"협상 및 거래, 셋 컬렉션, 손패 순서 고정",협상 / 셋 컬렉션 카드
35,브레인 스톰 (Brain Storm),만 8세+,2~8인,"연상 퀴즈, 실시간 단어 결합 순발력",파티 / 어휘 퍼즐
36,블리츠! (Blitz!),만 10세+,2~8인,"카테고리 어휘 연상, 스피드 심볼 매칭",실시간 어휘 / 파티
37,사보타지 (Saboteur),만 8세+,3~10인,"길 만들기 타일 배치, 히든 롤, 역할 방해",파티 / 히든 롤 / 경로 연결
38,사보타지 2 / 듀얼 (Saboteur Expansion/Duel),만 8세+,1~2인 or 다인,"팀 대결, 새로운 특수 역할 및 도구",확장 / 경로 연결 전략
39,서바이벌 그라운드 (Survival Ground),만 8세+,2~4인,"멸망 버튼 타일 날리기, 밀어내기/생존",덱스터리티 / 배틀로얄
40,스위스 사는 스미스씨,만 8세+,2~6인,"잰말놀이, 어휘 순발력, 발음 챌린지",파티 / 언어 순발력
41,스코틀랜드 야드 (Scotland Yard),만 10세+,2~6인,"1 vs 다수 비대칭 추적, 히든 무브먼트",고전 추리 / 이동 추적
42,스컬 (Skull),만 8세+,1~5인,"순수 블러핑, 비딩, 푸시 유어 럭",블러핑 / 심리전
43,스마트99 (Smart 99),만 8세+,2~6인,"퀴즈 / 정답 배제 오답 피하기, 베팅",파티 / 상식 퀴즈
44,스트라이크 (Strike),만 8세+,2~5인,"아레나 주사위 던지기, 푸시 유어 럭",주사위 / 덱스터리티 / 탈락
45,스틱 스택 (Stick Stack),만 8세+,2인 이상,스프링 타워 막대 균형 맞추기,덱스터리티 / 밸런스 파티
46,슬라이드 (Slide),만 8세+,2~6인,"실시간 카드 밀기, 패턴 정렬 퍼즐",실시간 퍼즐 / 패밀리
47,시타델 (Citadels),만 10세+,2~8인,"비밀 역할 드래프트, 블러핑, 도시 건설",블러핑 / 전략 / 도시 개발
48,아발론 클래식 (Abalone Classic),만 7세+,2인 전용,구슬 밀어내기 (수적 우위 메커니즘),2인 고전 추상 전략
49,아크 노바 (Ark Nova),만 14세+,1~4인,"동적 액션 슬롯, 타일 배치, 동물원 경영",헤비 유로 전략
50,아크 노바 확장: 동물원 지도 세트 A,만 14세+,1~4인,신규 비대칭 개인 지도 모듈,전략 확장
51,야단법석 달리기 (Crazy Race 등),만 8세+,2~5인,"레이싱, 핸드 관리, 블러핑 베팅",파티 레이싱 / 패밀리
52,어콰이어 (Acquire),만 12세+,2~6인,"타일 배치, 기업 합병, 주식 지분 투자",고전 경제 / 주식 전략
53,오델로 클래식 (Othello Classic),만 6세+,2인 전용,"플리핑 (돌 뒤집기), 영역 포위 점유",고전 추상 전략
54,요기 (Yogi),만 8세+,3~10인,"신체 제약 명령 누적, 자세 유지 탈락",신체 덱스터리티 / 파티
55,원나잇 얼티밋 웨어울프 (한밤의 늑대인간),만 8세+,3~10인,"단판 소셜 디덕션, 야간 역할 스왑",마피아 / 블러핑
56,원나잇 웨어울프: 황혼에서 새벽까지 (Daybreak),만 8세+,3~10인,"신규 특수 직업군, 독립 및 합본 플레이",마피아 / 확장
57,의자뺏기 (Stuhlgang),만 10세+,3~6인,"순발력 손패 털기, 의자 점유 카드 배틀",파티 / 스피드
58,익스플로딩 키튼 (Exploding Kittens),만 7세+,2~5인,"카드 드로우 푸시 유어 럭, 테이크 댓",러시안룰렛 카드 / 파티
59,젝스님트 (6 Nimmt!),만 8세+,2~10인,"동시 카드 공개, 오름차순 행 배치, 벌점 회피",핸드 관리 / 파티 전략
60,"차오차오 (Ciao, Ciao...)",만 8세+,2~4인,"블라인드 주사위 굴림, 거짓말 간파",블러핑 / 심리 레이싱
61,카타미노 (Katamino),만 3/8세+,1~2인,"펜토미노 블록 맞추기, 공간 지각",솔로/대전 공간 퍼즐
62,카탄 3D 에디션 (Catan 3D Edition),만 10세+,3~4인,"모듈러 보드, 주사위 자원 수급, 자유 거래",협상 / 네트워크 건설 명작
63,캐터펄트 킹덤: 본판 (Catapult Kingdoms),만 7세+,2인 전용,"블록 성채 건설, 투석기 발사 물리 파괴",덱스터리티 / 완구형 대전
64,캐터펄트 킹덤: 확장 (화산/히드라 등),만 7세+,2인 전용,"신규 무기/괴수 팩, 특수 전술 카드",덱스터리티 확장
65,크레이지 코코넛 (Crazy Coconuts),만 5세+,2~4인,"원숭이 발사대로 컵 골인, 컵 쌓기 셋 컬렉션",덱스터리티 / 가족
66,클라스크 (KLASK),만 8세+,2인 전용,"하부 자석 컨트롤러 조작, 실시간 에어하키",덱스터리티 / 스포츠
67,클러스터 (Kluster),만 14세+,1~4인,"자기장 자석 배치, 끈 영역 관리",덱스터리티 / 자석 물리
68,타코 캣 고트 치즈 피자,만 8세+,2~8인,"주문 구호 일치, 실시간 손바닥 치기",실시간 순발력 / 파티
69,트리오비전 (Trio-Vision),만 7세+,1~6인,"공간 지각, 패턴 인식, 1수 이동 일치",실시간 공간 퍼즐
70,티켓 투 라이드 (Ticket to Ride),만 8세+,2~5인,"셋 컬렉션, 기차 노선 연결, 비밀 목적지",가족 전략 / 네트워크 연결
71,티츄 (Tichu),만 8세+,4인 전용,"트릭 테이킹, 클라이밍/셰딩, 고정 2:2 팀전",팀 카드 게임 명작
72,파라오코드 (Pharaoh Code),만 8세+,2~5인,"주사위 사칙연산, 실시간 연산 순발력",교육 / 수리 퍼즐
73,팬데믹 (Pandemic),만 8세+,2~4인,"비대칭 특수능력, 포인트 이동, 완전 협력",협력 전략 명작
74,포메이션 (Formation),만 8세+,2인 전용,"블록 이동, 일직선/삼각형 대형 완성",2인 추상 전략
75,포션 파티 (Potion Party),만 8세+,2~5인,"실시간 재료 배합, 리듬/스피드 액션",실시간 파티
76,푸에르토리코 1897 (Puerto Rico 1897),만 12세+,2~5인,"역할 선택(팔로우 시스템), 생산 및 선적",고전 명작 유로 전략
77,하모니즈 (Harmonies),만 10세+,1~4인,"입체 지형 패턴 빌딩, 동물 서식지 셋 컬렉션",타일/토큰 배치 추상 전략
78,하드 투 겟 (Hard to Get),만 10세+,2~12인,"2인 단서 제공, 딜레마 연역 디덕션",협력 단어 디덕션
79,핫스트릭 (Hot Streak),만 8세+,2~4인,"푸시 유어 럭, 셋 컬렉션",파티 카드
80,히트 (HITSTER),만 16세+,2~10인,"QR 스트리밍 음악 퀴즈, 타임라인 연도 배치",음악 파티 퀴즈
81,힛스터 K-POP (Hitster K-POP),만 16세+,2~10인,"K-POP 음원 퀴즈, 연도별 타임라인 정렬",음악 파티 퀴즈
82,바퀴벌레 포커 로얄 (Kakerlaken Poker Royal),만 8세+,2~6인,"거짓말 블러핑, 1인 탈락자 만들기",심리전 / 블러핑 카드
83,바퀴벌레 찌르기 (Schummel Hummel),만 8세+,3~5인,"부정행위(치팅 합법), 감시원 속이기",파티 / 치팅 카드
84,분자역학 연구소 (Wrong Chemistry 계열),만 8세+,2~4인,"육각 타일 변형, 분자 패턴 완성",변형 퍼즐 전략
85,바보타임 (Babo Time),만 8세+,3~8인,"지시문 행동 수행, 실시간 스피드 리액션",파티 / 순발력
86,OX CHESS (입체 4목 체스),만 6세+,2인 전용,"3차원 공간 4목 연결, 공간 지각",2인 입체 추상 전략
